passwd	adduser	Depends
liblocale-gettext-perl	adduser	Suggests
perl	adduser	Suggests
cron	adduser	Suggests
quota	adduser	Suggests
base-passwd	apt	Depends
adduser	apt	Depends
sqv	apt	Depends
libapt-pkg7.0	apt	Depends
debian-archive-keyring	apt	Depends
libc6	apt	Depends
libgcc-s1	apt	Depends
libseccomp2	apt	Depends
libssl3t64	apt	Depends
libstdc++6	apt	Depends
libsystemd0	apt	Depends
ca-certificates	apt	Recommends
apt-doc	apt	Suggests
aptitude	apt	Suggests
synaptic	apt	Suggests
wajig	apt	Suggests
dpkg-dev	apt	Suggests
gnupg	apt	Suggests
gnupg2	apt	Suggests
gnupg1	apt	Suggests
powermgmt-base	apt	Suggests
apt	apt-utils	Depends
libapt-pkg7.0	apt-utils	Depends
libc6	apt-utils	Depends
libdb5.3t64	apt-utils	Depends
libgcc-s1	apt-utils	Depends
libstdc++6	apt-utils	Depends
mawk	base-files	Pre-Depends
libc6	base-passwd	Depends
libdebconfclient0	base-passwd	Depends
libselinux1	base-passwd	Depends
debconf	base-passwd	Recommends
debconf	base-passwd	Recommends
base-files	bash	Depends
debianutils	bash	Depends
libc6	bash	Pre-Depends
libtinfo6	bash	Pre-Depends
bash-completion	bash	Recommends
bash-doc	bash	Suggests
libc6	bsdutils	Pre-Depends
libsystemd0	bsdutils	Pre-Depends
bsdextrautils	bsdutils	Recommends
libacl1	coreutils	Pre-Depends
libattr1	coreutils	Pre-Depends
libc6	coreutils	Pre-Depends
libcap2	coreutils	Pre-Depends
libgmp10	coreutils	Pre-Depends
libselinux1	coreutils	Pre-Depends
libssl3t64	coreutils	Pre-Depends
libsystemd0	coreutils	Pre-Depends
libc6	cpio	Depends
libarchive-dev	cpio	Suggests
libc6	cron	Depends
libpam0g	cron	Depends
libselinux1	cron	Depends
sensible-utils	cron	Depends
libpam-runtime	cron	Depends
init-system-helpers	cron	Pre-Depends
cron-daemon-common	cron	Pre-Depends
default-mta	cron	Recommends
mail-transport-agent	cron	Recommends
anacron	cron	Suggests
logrotate	cron	Suggests
checksecurity	cron	Suggests
supercat	cron	Suggests
bat	cron	Suggests
systemd	cron-daemon-common	Depends
systemd-standalone-sysusers	cron-daemon-common	Depends
systemd	cron-daemon-common	Depends
adduser	cron-daemon-common	Depends
debianutils	dash	Depends
libc6	dash	Pre-Depends
apt	debconf	Recommends
apt-utils	debconf	Recommends
debconf-i18n	debconf	Recommends
debconf-doc	debconf	Suggests
debconf-kde-helper	debconf	Suggests
debconf-utils	debconf	Suggests
libgtk3-perl	debconf	Suggests
libnet-ldap-perl	debconf	Suggests
libterm-readline-gnu-perl	debconf	Suggests
perl	debconf	Suggests
whiptail	debconf	Suggests
dialog	debconf	Suggests
debconf	debconf-i18n	Depends
liblocale-gettext-perl	debconf-i18n	Depends
libtext-charwidth-perl	debconf-i18n	Depends
libtext-iconv-perl	debconf-i18n	Depends
libtext-wrapi18n-perl	debconf-i18n	Depends
libc6	debianutils	Pre-Depends
adduser	dhcpcd-base	Depends
libc6	dhcpcd-base	Depends
libssl3t64	dhcpcd-base	Depends
libudev1	dhcpcd-base	Depends
openresolv	dhcpcd-base	Suggests
resolvconf	dhcpcd-base	Suggests
systemd-resolved	dhcpcd-base	Suggests
libc6	diffutils	Pre-Depends
diffutils-doc	diffutils	Suggests
wdiff	diffutils	Suggests
libc6	dmidecode	Depends
tar	dpkg	Depends
libbz2-1.0	dpkg	Pre-Depends
libc6	dpkg	Pre-Depends
liblzma5	dpkg	Pre-Depends
libmd0	dpkg	Pre-Depends
libselinux1	dpkg	Pre-Depends
libzstd1	dpkg	Pre-Depends
zlib1g	dpkg	Pre-Depends
apt	dpkg	Suggests
debsig-verify	dpkg	Suggests
logsave	e2fsprogs	Depends
libblkid1	e2fsprogs	Pre-Depends
libc6	e2fsprogs	Pre-Depends
libcom-err2	e2fsprogs	Pre-Depends
libext2fs2t64	e2fsprogs	Pre-Depends
libss2	e2fsprogs	Pre-Depends
libuuid1	e2fsprogs	Pre-Depends
e2fsprogs-l10n	e2fsprogs	Recommends
gpart	e2fsprogs	Suggests
parted	e2fsprogs	Suggests
fuse2fs	e2fsprogs	Suggests
e2fsck-static	e2fsprogs	Suggests
libarchive13t64	e2fsprogs	Suggests
libc6	fdisk	Depends
libfdisk1	fdisk	Depends
libmount1	fdisk	Depends
libncursesw6	fdisk	Depends
libreadline8t64	fdisk	Depends
libsmartcols1	fdisk	Depends
libtinfo6	fdisk	Depends
sensible-utils	fdisk	Recommends
libc6	findutils	Pre-Depends
libselinux1	findutils	Pre-Depends
libc6	grep	Pre-Depends
libpcre2-8-0	grep	Pre-Depends
libc6	gzip	Pre-Depends
less	gzip	Suggests
libc6	hostname	Pre-Depends
libc6	ifupdown	Depends
adduser	ifupdown	Depends
iproute2	ifupdown	Depends
dhcpcd-base	ifupdown	Recommends
dhcpcd-base	ifupdown	Recommends
ppp	ifupdown	Suggests
rdnssd	ifupdown	Suggests
systemd-sysv	init	Pre-Depends
sysvinit-core	init	Pre-Depends
debconf	iproute2	Depends
debconf	iproute2	Depends
libbpf1	iproute2	Depends
libc6	iproute2	Depends
libcap2	iproute2	Depends
libdb5.3t64	iproute2	Depends
libelf1t64	iproute2	Depends
libmnl0	iproute2	Depends
libselinux1	iproute2	Depends
libtirpc3t64	iproute2	Depends
libxtables12	iproute2	Depends
libcap2-bin	iproute2	Depends
python3:any	iproute2	Suggests
libc6	iputils-ping	Depends
libcap2	iputils-ping	Depends
libidn2-0	iputils-ping	Depends
linux-sysctl-defaults	iputils-ping	Recommends
libc6	kmod	Depends
libssl3t64	kmod	Depends
libkmod2	kmod	Depends
libc6	less	Depends
libtinfo6	less	Depends
libc6	libacl1	Depends
libc6	libapparmor1	Depends
libbz2-1.0	libapt-pkg7.0	Depends
libc6	libapt-pkg7.0	Depends
libgcc-s1	libapt-pkg7.0	Depends
liblz4-1	libapt-pkg7.0	Depends
liblzma5	libapt-pkg7.0	Depends
libssl3t64	libapt-pkg7.0	Depends
libstdc++6	libapt-pkg7.0	Depends
libsystemd0	libapt-pkg7.0	Depends
libudev1	libapt-pkg7.0	Depends
libxxhash0	libapt-pkg7.0	Depends
libzstd1	libapt-pkg7.0	Depends
zlib1g	libapt-pkg7.0	Depends
apt	libapt-pkg7.0	Recommends
libc6	libattr1	Depends
libaudit-common	libaudit1	Depends
libc6	libaudit1	Depends
libcap-ng0	libaudit1	Depends
libc6	libblkid1	Depends
libc6	libbpf1	Depends
libelf1t64	libbpf1	Depends
zlib1g	libbpf1	Depends
libc6	libbsd0	Depends
libmd0	libbsd0	Depends
libc6	libbz2-1.0	Depends
libc6	libc-bin	Depends
libc6	libc-bin	Depends
manpages	libc-bin	Recommends
libgcc-s1	libc6	Depends
libidn2-0	libc6	Recommends
glibc-doc	libc6	Suggests
debconf	libc6	Suggests
debconf	libc6	Suggests
libc-l10n	libc6	Suggests
locales	libc6	Suggests
libnss-nis	libc6	Suggests
libnss-nisplus	libc6	Suggests
libc6	libcap-ng0	Depends
libc6	libcap2	Depends
libc6	libcap2-bin	Depends
libcap2	libcap2-bin	Depends
libpam-cap	libcap2-bin	Recommends
libc6	libcom-err2	Depends
libc6	libcrypt1	Depends
libc6	libdb5.3t64	Depends
libc6	libdebconfclient0	Depends
libbsd0	libedit2	Depends
libc6	libedit2	Depends
libtinfo6	libedit2	Depends
libc6	libelf1t64	Depends
libzstd1	libelf1t64	Depends
zlib1g	libelf1t64	Depends
libc6	libext2fs2t64	Depends
libblkid1	libfdisk1	Depends
libc6	libfdisk1	Depends
libuuid1	libfdisk1	Depends
gcc-14-base	libgcc-s1	Depends
libc6	libgcc-s1	Depends
libc6	libgmp10	Depends
libkrb5-3	libgssapi-krb5-2	Depends
libc6	libgssapi-krb5-2	Depends
libcom-err2	libgssapi-krb5-2	Depends
libk5crypto3	libgssapi-krb5-2	Depends
libkrb5support0	libgssapi-krb5-2	Depends
krb5-doc	libgssapi-krb5-2	Suggests
krb5-user	libgssapi-krb5-2	Suggests
libc6	libhogweed6t64	Depends
libgmp10	libhogweed6t64	Depends
libnettle8t64	libhogweed6t64	Depends
libc6	libidn2-0	Depends
libunistring5	libidn2-0	Depends
libc6	libjansson4	Depends
libc6	libk5crypto3	Depends
libkrb5support0	libk5crypto3	Depends
krb5-doc	libk5crypto3	Suggests
krb5-user	libk5crypto3	Suggests
libc6	libkeyutils1	Depends
libc6	libkmod2	Depends
libssl3t64	libkmod2	Depends
libkrb5support0	libkrb5-3	Depends
libc6	libkrb5-3	Depends
libcom-err2	libkrb5-3	Depends
libk5crypto3	libkrb5-3	Depends
libkeyutils1	libkrb5-3	Depends
libssl3t64	libkrb5-3	Depends
krb5-locales	libkrb5-3	Recommends
krb5-doc	libkrb5-3	Suggests
krb5-user	libkrb5-3	Suggests
libc6	libkrb5support0	Depends
libc6	liblastlog2-2	Depends
libsqlite3-0	liblastlog2-2	Depends
libc6	liblocale-gettext-perl	Depends
perl-base	liblocale-gettext-perl	Pre-Depends
perl-base	liblocale-gettext-perl	Pre-Depends
libc6	liblz4-1	Depends
libxxhash0	liblz4-1	Depends
libc6	liblzma5	Depends
libc6	libmd0	Depends
libc6	libmnl0	Depends
libblkid1	libmount1	Depends
libc6	libmount1	Depends
libselinux1	libmount1	Depends
cryptsetup-bin	libmount1	Suggests
libtinfo6	libncursesw6	Depends
libc6	libncursesw6	Depends
libgpm2	libncursesw6	Recommends
libc6	libnettle8t64	Depends
libc6	libnewt0.52	Depends
libslang2	libnewt0.52	Depends
libfribidi0	libnewt0.52	Recommends
libc6	libnftables1	Depends
libgmp10	libnftables1	Depends
libjansson4	libnftables1	Depends
libmnl0	libnftables1	Depends
libnftnl11	libnftables1	Depends
libxtables12	libnftables1	Depends
libc6	libnftnl11	Depends
libmnl0	libnftnl11	Depends
libaudit1	libpam-modules	Pre-Depends
libc6	libpam-modules	Pre-Depends
libcrypt1	libpam-modules	Pre-Depends
libdb5.3t64	libpam-modules	Pre-Depends
libpam0g	libpam-modules	Pre-Depends
libselinux1	libpam-modules	Pre-Depends
libsystemd0	libpam-modules	Pre-Depends
debconf	libpam-modules	Pre-Depends
debconf	libpam-modules	Pre-Depends
libpam-modules-bin	libpam-modules	Pre-Depends
libaudit1	libpam-modules-bin	Depends
libc6	libpam-modules-bin	Depends
libcrypt1	libpam-modules-bin	Depends
libpam0g	libpam-modules-bin	Depends
libselinux1	libpam-modules-bin	Depends
libsystemd0	libpam-modules-bin	Depends
debconf	libpam-runtime	Depends
debconf	libpam-runtime	Depends
debconf	libpam-runtime	Depends
cdebconf	libpam-runtime	Depends
libpam-modules	libpam-runtime	Depends
libaudit1	libpam0g	Depends
libc6	libpam0g	Depends
debconf	libpam0g	Depends
debconf	libpam0g	Depends
