package	bin_files	lib_files	service_unit_files	doc_files
adduser	4	0	0	103
apt	6	46	5	143
apt-utils	3	6	0	50
base-files	0	3	0	7
base-passwd	1	0	0	29
bash	4	0	0	23
bsdutils	6	0	0	12
coreutils	105	0	0	117
cpio	2	0	0	10
cron	2	3	3	21
cron-daemon-common	0	4	0	4
dash	2	0	0	9
debconf	9	0	0	15
debconf-i18n	0	0	0	83
debian-archive-keyring	0	0	0	5
debianutils	9	0	0	87
dhcpcd-base	1	12	0	12
diffutils	4	0	0	10
dmidecode	4	0	0	11
dpkg	11	9	3	112
e2fsprogs	26	11	8	40
fdisk	3	0	0	9
findutils	2	0	0	10
gcc-14-base	0	0	0	0
grep	4	0	0	15
gzip	14	0	0	22
hostname	5	0	0	9
ifupdown	3	14	7	22
init	0	0	0	3
init-system-helpers	5	1	2	12
iproute2	19	6	0	155
iputils-ping	3	0	0	9
kmod	8	3	0	17
less	5	3	0	12
libacl1	0	0	0	0
libapparmor1	0	0	0	0
libapt-pkg7.0	0	0	0	0
libattr1	0	0	0	0
libaudit1	0	0	0	0
libaudit-common	0	0	0	6
libblkid1	0	0	0	0
libbpf1	0	0	0	0
libbsd0	0	0	0	0
libbz2-1.0	0	0	0	0
libc6	0	0	0	0
libcap2	0	0	0	0
libcap2-bin	4	0	0	12
libcap-ng0	0	0	0	0
libc-bin	13	15	0	7
libcom-err2	0	0	0	0
libcrypt1	0	0	0	0
libdb5.3t64	0	0	0	0
libdebconfclient0	0	0	0	0
libedit2	0	0	0	0
libelf1t64	0	0	0	0
libext2fs2t64	0	0	0	0
libfdisk1	0	0	0	0
libgcc-s1	0	0	0	0
libgmp10	0	0	0	0
libgssapi-krb5-2	0	0	0	0
libhogweed6t64	0	0	0	0
libidn2-0	0	0	0	0
libjansson4	0	0	0	0
libk5crypto3	0	0	0	0
libkeyutils1	0	0	0	0
libkmod2	0	0	0	0
libkrb5-3	0	0	0	0
libkrb5support0	0	0	0	0
liblastlog2-2	0	0	0	0
liblocale-gettext-perl	0	9	0	8
liblz4-1	0	0	0	0
liblzma5	0	0	0	0
libmd0	0	0	0	0
libmnl0	0	0	0	0
libmount1	0	0	0	0
libncursesw6	0	0	0	0
libnettle8t64	0	0	0	0
libnewt0.52	0	0	0	0
libnftables1	0	0	0	0
libnftnl11	0	0	0	0
libpam0g	0	0	0	0
libpam-modules	0	0	0	0
libpam-modules-bin	7	3	2	4
libpam-runtime	2	1	0	74
libpcre2-8-0	0	0	0	0
libpopt0	0	0	0	0
libproc2-0	0	0	0	0
libreadline8t64	0	0	0	0
libseccomp2	0	0	0	0
libselinux1	0	0	0	0
libsemanage2	0	0	0	0
libsemanage-common	0	0	0	5
libsepol2	0	0	0	0
libslang2	0	0	0	0
libsmartcols1	0	0	0	0
libsqlite3-0	0	0	0	0
libss2	0	0	0	0
libssl3t64	0	0	0	0
libstdc++6	0	0	0	0
libsystemd0	0	0	0	0
libsystemd-shared	0	0	0	0
libtext-charwidth-perl	0	0	0	0
libtext-iconv-perl	0	0	0	0
libtext-wrapi18n-perl	0	0	0	7
libtinfo6	0	0	0	0
libtirpc3t64	0	0	0	0
libtirpc-common	0	0	0	7
libudev1	0	0	0	0
libunistring5	0	0	0	0
libuuid1	0	0	0	0
libxtables12	0	0	0	0
libxxhash0	0	0	0	0
libzstd1	0	0	0	0
linux-sysctl-defaults	0	2	0	3
login	4	0	0	42
login.defs	0	0	0	28
logrotate	1	5	3	8
logsave	1	0	0	6
mawk	1	0	0	22
mount	5	0	0	18
nano	2	0	0	19
ncurses-base	0	0	0	6
ncurses-bin	10	0	0	22
netbase	0	0	0	3
nftables	1	3	2	34
openssl-provider-legacy	0	3	0	4
passwd	24	2	0	370
perl-base	2	722	0	10
procps	18	0	1	176
readline-common	0	0	0	8
sed	1	0	0	14
sensible-utils	5	3	0	31
sqv	1	0	0	7
systemd	38	482	450	274
systemd-sysv	7	0	0	13
sysvinit-utils	3	7	0	9
tar	3	3	0	14
tzdata	0	0	0	6
udev	2	109	57	19
util-linux	67	7	3	135
vim-common	1	5	0	59
vim-tiny	1	0	0	7
whiptail	1	0	0	8
zlib1g	0	0	0	0
