adduser	passwd	primary
apt	base-passwd	primary
apt	adduser	alt
apt	sqv	primary
apt	libapt-pkg7.0	primary
apt	debian-archive-keyring	primary
apt	libc6	primary
apt	libgcc-s1	primary
apt	libseccomp2	primary
apt	libssl3t64	primary
apt	libstdc++6	primary
apt	libsystemd0	primary
apt-utils	apt	primary
apt-utils	libapt-pkg7.0	primary
apt-utils	libc6	primary
apt-utils	libdb5.3t64	primary
apt-utils	libgcc-s1	primary
apt-utils	libstdc++6	primary
base-files	awk	primary
base-passwd	libc6	primary
base-passwd	libdebconfclient0	primary
base-passwd	libselinux1	primary
bash	base-files	primary
bash	debianutils	primary
bash	libc6	primary
bash	libtinfo6	primary
bsdutils	libc6	primary
bsdutils	libsystemd0	primary
coreutils	libacl1	primary
coreutils	libattr1	primary
coreutils	libc6	primary
coreutils	libcap2	primary
coreutils	libgmp10	primary
coreutils	libselinux1	primary
coreutils	libssl3t64	primary
coreutils	libsystemd0	primary
cpio	libc6	primary
cron	libc6	primary
cron	libpam0g	primary
cron	libselinux1	primary
cron	sensible-utils	primary
cron	libpam-runtime	primary
cron	init-system-helpers	primary
cron	cron-daemon-common	primary
cron-daemon-common	systemd	primary
cron-daemon-common	systemd-standalone-sysusers	alt
cron-daemon-common	systemd-sysusers	alt
cron-daemon-common	adduser	primary
dash	debianutils	primary
dash	libc6	primary
debconf-i18n	debconf	primary
debconf-i18n	liblocale-gettext-perl	primary
debconf-i18n	libtext-charwidth-perl	primary
debconf-i18n	libtext-iconv-perl	primary
debconf-i18n	libtext-wrapi18n-perl	primary
debianutils	libc6	primary
dhcpcd-base	adduser	primary
dhcpcd-base	libc6	primary
dhcpcd-base	libssl3t64	primary
dhcpcd-base	libudev1	primary
diffutils	libc6	primary
dmidecode	libc6	primary
dpkg	tar	primary
dpkg	libbz2-1.0	primary
dpkg	libc6	primary
dpkg	liblzma5	primary
dpkg	libmd0	primary
dpkg	libselinux1	primary
dpkg	libzstd1	primary
dpkg	zlib1g	primary
e2fsprogs	logsave	primary
e2fsprogs	libblkid1	primary
e2fsprogs	libc6	primary
e2fsprogs	libcom-err2	primary
e2fsprogs	libext2fs2t64	primary
e2fsprogs	libss2	primary
e2fsprogs	libuuid1	primary
fdisk	libc6	primary
fdisk	libfdisk1	primary
fdisk	libmount1	primary
fdisk	libncursesw6	primary
fdisk	libreadline8t64	primary
fdisk	libsmartcols1	primary
fdisk	libtinfo6	primary
findutils	libc6	primary
findutils	libselinux1	primary
grep	libc6	primary
grep	libpcre2-8-0	primary
gzip	libc6	primary
hostname	libc6	primary
ifupdown	libc6	primary
ifupdown	adduser	primary
ifupdown	iproute2	primary
init	systemd-sysv	primary
init	sysvinit-core	alt
iproute2	debconf	primary
iproute2	debconf-2.0	alt
iproute2	libbpf1	primary
iproute2	libc6	primary
iproute2	libcap2	primary
iproute2	libdb5.3t64	primary
iproute2	libelf1t64	primary
iproute2	libmnl0	primary
iproute2	libselinux1	primary
iproute2	libtirpc3t64	primary
iproute2	libxtables12	primary
iproute2	libcap2-bin	primary
iputils-ping	libc6	primary
iputils-ping	libcap2	primary
iputils-ping	libidn2-0	primary
kmod	libc6	primary
kmod	libssl3t64	primary
kmod	libkmod2	primary
less	libc6	primary
less	libtinfo6	primary
libacl1	libc6	primary
libapparmor1	libc6	primary
