package	script	hook	matched_line
apt	postinst	deb-systemd-helper	deb-systemd-helper enable 'apt-daily.timer' >/dev/null || true
apt	postinst	deb-systemd-helper	deb-systemd-helper enable 'apt-daily-upgrade.timer' >/dev/null || true
apt	postinst	deb-systemd-helper	deb-systemd-helper unmask 'apt-daily.timer' >/dev/null || true
apt	postinst	deb-systemd-helper	deb-systemd-helper unmask 'apt-daily-upgrade.timer' >/dev/null || true
apt	postinst	deb-systemd-helper	deb-systemd-helper update-state 'apt-daily.timer' >/dev/null || true
apt	postinst	deb-systemd-helper	deb-systemd-helper update-state 'apt-daily-upgrade.timer' >/dev/null || true
apt	postinst	deb-systemd-helper	if deb-systemd-helper --quiet was-enabled 'apt-daily.timer'; then
apt	postinst	deb-systemd-helper	if deb-systemd-helper --quiet was-enabled 'apt-daily-upgrade.timer'; then
apt	postinst	systemctl	systemctl --system daemon-reload >/dev/null || true
apt	postrm	deb-systemd-helper	deb-systemd-helper purge 'apt-daily-upgrade.timer' 'apt-daily.timer' >/dev/null || true
apt	postrm	deb-systemd-helper	if [ -x "/usr/bin/deb-systemd-helper" ]; then
apt	postrm	systemctl	systemctl --system daemon-reload >/dev/null || true
apt	postrm	systemctl	systemctl --system daemon-reload >/dev/null || true
bash	postinst	update-alternatives	update-alternatives --install \
bash	prerm	update-alternatives	update-alternatives --remove builtins.7.gz \
cpio	postinst	update-alternatives	update-alternatives --install /usr/bin/mt mt /usr/bin/mt-gnu 10 \
cpio	prerm	update-alternatives	update-alternatives --remove mt /usr/bin/mt-gnu
cron	postinst	deb-systemd-helper	deb-systemd-helper enable 'cron.service' >/dev/null || true
cron	postinst	deb-systemd-helper	deb-systemd-helper unmask 'cron.service' >/dev/null || true
cron	postinst	deb-systemd-helper	deb-systemd-helper update-state 'cron.service' >/dev/null || true
cron	postinst	deb-systemd-helper	if deb-systemd-helper --quiet was-enabled 'cron.service'; then
cron	postinst	invoke-rc.d	invoke-rc.d --skip-systemd-native cron $_dh_action || exit 1
cron	postinst	systemctl	systemctl --system daemon-reload >/dev/null || true
cron	postinst	update-rc.d	update-rc.d cron defaults >/dev/null
cron	postrm	deb-systemd-helper	deb-systemd-helper purge 'cron.service' >/dev/null || true
cron	postrm	deb-systemd-helper	if [ -x "/usr/bin/deb-systemd-helper" ]; then
