package	version	arch	tier	tier_source	subsystem	fwd_dep_count	rdep_count	rdeps	size_kb	bin_files	lib_files	unit_files	doc_files	maintainer_hook_count	security_evidence_count	candidate
adduser	3.152	all	debian-essential	auto (Priority/Essential)	accounts-auth	1	4	apt,cron-daemon-common,dhcpcd-base,ifupdown	428	4	0	0	103	0	0	-
apt	3.0.3	amd64	debian-essential	auto (Priority/Essential)	package-management	11	1	apt-utils	4480	6	46	5	143	13	0	-
apt-utils	3.0.3	amd64	debian-essential	auto (Priority/Essential)	package-management	6	0	-	1086	3	6	0	50	0	0	-
base-files	13.8+deb13u6	amd64	core	manual (tiers/core.txt)	debian-substrate	1	1	bash	350	0	3	0	7	0	0	-
base-passwd	3.6.7	amd64	core	manual (tiers/core.txt)	debian-substrate	3	2	apt,passwd	272	1	0	0	29	0	0	-
bash	5.2.37-2+b9	amd64	debian-essential	auto (Priority/Essential)	shell-userspace	4	0	-	7196	4	0	0	23	2	0	-
bsdutils	1:2.41-5	amd64	debian-essential	auto (Priority/Essential)	shell-userspace	2	0	-	401	6	0	0	12	0	0	-
coreutils	9.7-3	amd64	core	manual (tiers/core.txt)	shell-userspace	8	0	-	18457	105	0	0	117	0	0	-
cpio	2.15+dfsg-2	amd64	debian-essential	auto (Priority/Essential)	shell-userspace	1	0	-	1197	2	0	0	10	2	0	-
cron	3.0pl1-197	amd64	utility	manual (tiers/utility.txt)	maintenance	7	2	logrotate,logrotate	249	2	3	3	21	12	1	-
cron-daemon-common	3.0pl1-197	all	utility	manual (tiers/utility.txt)	maintenance	4	1	cron	56	0	4	0	4	0	0	-
dash	0.5.12-12	amd64	core	manual (tiers/core.txt)	shell-userspace	2	0	-	207	2	0	0	9	0	0	-
debconf	1.5.91	all	debian-essential	auto (Priority/Essential)	package-management	0	12	debconf-i18n,iproute2,iproute2,libpam0g,libpam0g,libpam-modules,libpam-modules,libpam-runtime,libpam-runtime,libpam-runtime,tzdata,tzdata	497	9	0	0	15	0	0	-
debconf-i18n	1.5.91	all	debian-essential	auto (Priority/Essential)	package-management	5	0	-	842	0	0	0	83	0	0	-
debian-archive-keyring	2025.1	all	debian-essential	auto (Priority/Essential)	package-management	0	1	apt	302	0	0	0	5	0	0	-
debianutils	5.23.2	amd64	debian-essential	auto (Priority/Essential)	debian-substrate	1	2	bash,dash	225	9	0	0	87	2	0	-
dhcpcd-base	1:10.1.0-11+deb13u3	amd64	architectural	manual (tiers/architectural.txt)	networking	4	0	-	495	1	12	0	12	1	0	-
