apt	apt-transport-https
base-files	base
base-files	usr-is-merged
cron	cron-daemon
debconf	debconf-2.0
dhcpcd-base	dhcp-client
grep	rgrep
iproute2	arpd
iputils-ping	ping
libapt-pkg7.0	libapt-pkg
libcom-err2	libcom-err2t64
libcom-err2	libcomerr2
libdb5.3t64	libdb5.3
libelf1t64	libelf1
libext2fs2t64	e2fslibs
libext2fs2t64	libext2fs2
libgcc-s1	libgcc1
libhogweed6t64	libhogweed6
libnettle8t64	libnettle8
libpam-modules	libpam-mkhomedir
libpam-modules	libpam-motd
libpam-modules	libpam-umask
libreadline8t64	libreadline8
libss2	libss2t64
libssl3t64	libssl3
libtirpc3t64	libtirpc3
libuuid1	libuuid1t64
mawk	awk
ncurses-base	ncurses-runtime
perl-base	libfile-path-perl
perl-base	libfile-temp-perl
perl-base	libio-socket-ip-perl
perl-base	libscalar-list-utils-perl
perl-base	libsocket-perl
perl-base	libxsloader-perl
perl-base	perlapi-5.40.0
perl-base	perlapi-5.40.1
procps	watch
systemd	systemd-sysusers
systemd	systemd-tmpfiles
sysvinit-utils	lsb-base
tzdata	tzdata-trixie
util-linux	hardlink
vim-tiny	editor
zlib1g	libz1
