adduser	Depends	passwd
adduser	Suggests	liblocale-gettext-perl, perl, cron, quota
apt	Depends	base-passwd | adduser, sqv , libapt-pkg7.0 , debian-archive-keyring, libc6 , libgcc-s1 , libseccomp2 , libssl3t64 , libstdc++6 , libsystemd0
apt	Recommends	ca-certificates
apt	Suggests	apt-doc, aptitude | synaptic | wajig, dpkg-dev , gnupg | gnupg2 | gnupg1, powermgmt-base
apt-utils	Depends	apt , libapt-pkg7.0 , libc6 , libdb5.3t64, libgcc-s1 , libstdc++6
base-files	Pre-Depends	awk
base-passwd	Depends	libc6 , libdebconfclient0 , libselinux1
base-passwd	Recommends	debconf | debconf-2.0
bash	Depends	base-files , debianutils
bash	Pre-Depends	libc6 , libtinfo6
bash	Recommends	bash-completion
bash	Suggests	bash-doc
bsdutils	Pre-Depends	libc6 , libsystemd0
bsdutils	Recommends	bsdextrautils
coreutils	Pre-Depends	libacl1 , libattr1 , libc6 , libcap2 , libgmp10 , libselinux1 , libssl3t64 , libsystemd0
cpio	Depends	libc6
cpio	Suggests	libarchive-dev
cron	Depends	libc6 , libpam0g , libselinux1 , sensible-utils, libpam-runtime
cron	Pre-Depends	init-system-helpers , cron-daemon-common
cron	Recommends	default-mta | mail-transport-agent
cron	Suggests	anacron, logrotate, checksecurity, supercat, bat
cron-daemon-common	Depends	systemd | systemd-standalone-sysusers | systemd-sysusers, adduser
dash	Depends	debianutils
dash	Pre-Depends	libc6
debconf	Recommends	apt | apt-utils, debconf-i18n
debconf	Suggests	debconf-doc, debconf-kde-helper, debconf-utils, libgtk3-perl, libnet-ldap-perl, libterm-readline-gnu-perl, perl, whiptail | dialog
debconf-i18n	Depends	debconf , liblocale-gettext-perl, libtext-charwidth-perl, libtext-iconv-perl, libtext-wrapi18n-perl
debianutils	Pre-Depends	libc6
dhcpcd-base	Depends	adduser, libc6 , libssl3t64 , libudev1
dhcpcd-base	Suggests	openresolv | resolvconf | systemd-resolved
diffutils	Pre-Depends	libc6
diffutils	Suggests	diffutils-doc, wdiff
dmidecode	Depends	libc6
dpkg	Depends	tar
dpkg	Pre-Depends	libbz2-1.0, libc6 , liblzma5 , libmd0 , libselinux1 , libzstd1 , zlib1g
dpkg	Suggests	apt, debsig-verify
e2fsprogs	Depends	logsave
e2fsprogs	Pre-Depends	libblkid1 , libc6 , libcom-err2 , libext2fs2t64 , libss2 , libuuid1
e2fsprogs	Recommends	e2fsprogs-l10n
e2fsprogs	Suggests	gpart, parted, fuse2fs, e2fsck-static, libarchive13t64
fdisk	Depends	libc6 , libfdisk1 , libmount1 , libncursesw6 , libreadline8t64 , libsmartcols1 , libtinfo6
fdisk	Recommends	sensible-utils
findutils	Pre-Depends	libc6 , libselinux1
grep	Pre-Depends	libc6 , libpcre2-8-0
gzip	Pre-Depends	libc6
gzip	Suggests	less
hostname	Pre-Depends	libc6
ifupdown	Depends	libc6 , adduser, iproute2
ifupdown	Recommends	dhcpcd-base | dhcp-client
ifupdown	Suggests	ppp, rdnssd
init	Pre-Depends	systemd-sysv | sysvinit-core
iproute2	Depends	debconf | debconf-2.0, libbpf1 , libc6 , libcap2 , libdb5.3t64, libelf1t64 , libmnl0 , libselinux1 , libtirpc3t64 , libxtables12 , libcap2-bin
iproute2	Suggests	python3:any
iputils-ping	Depends	libc6 , libcap2 , libidn2-0
iputils-ping	Recommends	linux-sysctl-defaults
kmod	Depends	libc6 , libssl3t64 , libkmod2
less	Depends	libc6 , libtinfo6
libacl1	Depends	libc6
libapparmor1	Depends	libc6
libapt-pkg7.0	Depends	libbz2-1.0, libc6 , libgcc-s1 , liblz4-1 , liblzma5 , libssl3t64 , libstdc++6 , libsystemd0 , libudev1 , libxxhash0 , libzstd1 , zlib1g
libapt-pkg7.0	Recommends	apt
libattr1	Depends	libc6
libaudit1	Depends	libaudit-common , libc6 , libcap-ng0
libblkid1	Depends	libc6
libbpf1	Depends	libc6 , libelf1t64 , zlib1g
libbsd0	Depends	libc6 , libmd0
libbz2-1.0	Depends	libc6
libc-bin	Depends	libc6 , libc6
libc-bin	Recommends	manpages
libc6	Depends	libgcc-s1
libc6	Recommends	libidn2-0
libc6	Suggests	glibc-doc, debconf | debconf-2.0, libc-l10n, locales, libnss-nis, libnss-nisplus
libcap-ng0	Depends	libc6
libcap2	Depends	libc6
libcap2-bin	Depends	libc6 , libcap2
libcap2-bin	Recommends	libpam-cap
libcom-err2	Depends	libc6
libcrypt1	Depends	libc6
libdb5.3t64	Depends	libc6
libdebconfclient0	Depends	libc6
libedit2	Depends	libbsd0 , libc6 , libtinfo6
libelf1t64	Depends	libc6 , libzstd1 , zlib1g
libext2fs2t64	Depends	libc6
libfdisk1	Depends	libblkid1 , libc6 , libuuid1
libgcc-s1	Depends	gcc-14-base , libc6
libgmp10	Depends	libc6
