adduser	debian-essential	auto (Priority/Essential)	1	4	428	apt,cron-daemon-common,dhcpcd-base,ifupdown	-
apt	debian-essential	auto (Priority/Essential)	11	1	4480	apt-utils	-
apt-utils	debian-essential	auto (Priority/Essential)	6	0	1086	-	-
base-files	core	manual (tiers/core.txt)	1	1	350	bash	-
base-passwd	core	manual (tiers/core.txt)	3	2	272	apt,passwd	-
bash	debian-essential	auto (Priority/Essential)	4	0	7196	-	-
bsdutils	debian-essential	auto (Priority/Essential)	2	0	401	-	-
coreutils	core	manual (tiers/core.txt)	8	0	18457	-	-
cpio	debian-essential	auto (Priority/Essential)	1	0	1197	-	-
cron	utility	manual (tiers/utility.txt)	7	1	249	logrotate	-
cron-daemon-common	utility	manual (tiers/utility.txt)	4	1	56	cron	-
dash	core	manual (tiers/core.txt)	2	0	207	-	-
debconf	debian-essential	auto (Priority/Essential)	0	7	497	debconf-i18n,iproute2,libpam0g,libpam-modules,libpam-runtime,libpam-runtime,tzdata	-
debconf-i18n	debian-essential	auto (Priority/Essential)	5	0	842	-	-
debian-archive-keyring	debian-essential	auto (Priority/Essential)	0	1	302	apt	-
debianutils	debian-essential	auto (Priority/Essential)	1	2	225	bash,dash	-
dhcpcd-base	architectural	manual (tiers/architectural.txt)	4	0	495	-	-
diffutils	debian-essential	auto (Priority/Essential)	1	0	1768	-	-
dmidecode	utility	manual (tiers/utility.txt)	1	0	229	-	-
dpkg	core	manual (tiers/core.txt)	8	0	6587	-	-
e2fsprogs	debian-essential	auto (Priority/Essential)	7	0	1537	-	-
fdisk	utility	manual (tiers/utility.txt)	7	0	529	-	-
findutils	core	manual (tiers/core.txt)	2	0	2160	-	-
gcc-14-base	dependency	auto (unclassified)	0	2	112	libgcc-s1,libstdc++6	-
grep	core	manual (tiers/core.txt)	2	0	1266	-	-
gzip	debian-essential	auto (Priority/Essential)	1	0	256	-	-
hostname	debian-essential	auto (Priority/Essential)	1	0	50	-	-
ifupdown	architectural	manual (tiers/architectural.txt)	3	0	200	-	-
init	debian-essential	auto (Priority/Essential)	2	0	17	-	-
init-system-helpers	core	manual (tiers/core.txt)	0	2	133	cron,procps	-
iproute2	architectural	manual (tiers/architectural.txt)	12	1	3774	ifupdown	-
iputils-ping	utility	manual (tiers/utility.txt)	3	0	187	-	-
kmod	architectural	manual (tiers/architectural.txt)	3	0	255	-	-
less	utility	manual (tiers/utility.txt)	2	0	376	-	-
libacl1	dependency	auto (unclassified)	1	8	74	coreutils,libsystemd-shared,logrotate,passwd,sed,systemd,tar,vim-tiny	-
libapparmor1	dependency	auto (unclassified)	1	1	115	systemd	-
libapt-pkg7.0	dependency	auto (unclassified)	12	2	3855	apt,apt-utils	-
libattr1	dependency	auto (unclassified)	1	2	60	coreutils,passwd	-
libaudit1	dependency	auto (unclassified)	3	7	179	libpam0g,libpam-modules-bin,libpam-modules,libsemanage2,libsystemd-shared,login,passwd	-
libaudit-common	dependency	auto (unclassified)	0	1	25	libaudit1	-
libblkid1	dependency	auto (unclassified)	1	7	449	e2fsprogs,libfdisk1,libmount1,libsystemd-shared,mount,udev,util-linux	-
libbpf1	dependency	auto (unclassified)	3	1	452	iproute2	-
libbsd0	dependency	auto (unclassified)	2	2	214	libedit2,passwd	-
